image_path,source,k,curve,fake_score
C:\My_Project\AIGC\AIGuard\unseen\fake_162.jpg,aiguard_unseen,0.1,hot_first,0.916291
C:\My_Project\AIGC\AIGuard\unseen\fake_162.jpg,aiguard_unseen,0.1,bottom_first,0.88501
C:\My_Project\AIGC\AIGuard\unseen\fake_162.jpg,aiguard_unseen,0.2,hot_first,0.918895
C:\My_Project\AIGC\AIGuard\unseen\fake_162.jpg,aiguard_unseen,0.2,bottom_first,0.884616
C:\My_Project\AIGC\AIGuard\unseen\fake_162.jpg,aiguard_unseen,0.4,hot_first,0.930103
C:\My_Project\AIGC\AIGuard\unseen\fake_162.jpg,aiguard_unseen,0.4,bottom_first,0.808471
C:\My_Project\AIGC\AIGuard\unseen\fake_162.jpg,aiguard_unseen,0.6,hot_first,0.928103
C:\My_Project\AIGC\AIGuard\unseen\fake_162.jpg,aiguard_unseen,0.6,bottom_first,0.754671
C:\My_Project\AIGC\AIGuard\unseen\fake_162.jpg,aiguard_unseen,1.0,hot_first,0.923732
C:\My_Project\AIGC\AIGuard\unseen\fake_162.jpg,aiguard_unseen,1.0,bottom_first,0.923732
C:\My_Project\AIGC\AIGuard\unseen\fake_164.jpg,aiguard_unseen,0.05,hot_first,0.928817
C:\My_Project\AIGC\AIGuard\unseen\fake_164.jpg,aiguard_unseen,0.05,bottom_first,0.915669
C:\My_Project\AIGC\AIGuard\unseen\fake_164.jpg,aiguard_unseen,0.1,hot_first,0.919658
C:\My_Project\AIGC\AIGuard\unseen\fake_164.jpg,aiguard_unseen,0.1,bottom_first,0.906377
C:\My_Project\AIGC\AIGuard\unseen\fake_164.jpg,aiguard_unseen,0.2,hot_first,0.918099
C:\My_Project\AIGC\AIGuard\unseen\fake_164.jpg,aiguard_unseen,0.2,bottom_first,0.871451
C:\My_Project\AIGC\AIGuard\unseen\fake_164.jpg,aiguard_unseen,0.4,hot_first,0.929358
C:\My_Project\AIGC\AIGuard\unseen\fake_164.jpg,aiguard_unseen,0.4,bottom_first,0.818308
C:\My_Project\AIGC\AIGuard\unseen\fake_164.jpg,aiguard_unseen,0.6,hot_first,0.929828
C:\My_Project\AIGC\AIGuard\unseen\fake_164.jpg,aiguard_unseen,0.6,bottom_first,0.747687
C:\My_Project\AIGC\AIGuard\unseen\fake_164.jpg,aiguard_unseen,1.0,hot_first,0.918726
C:\My_Project\AIGC\AIGuard\unseen\fake_164.jpg,aiguard_unseen,1.0,bottom_first,0.918726
C:\My_Project\AIGC\AIGuard\unseen\fake_168.jpg,aiguard_unseen,0.05,hot_first,0.901337
C:\My_Project\AIGC\AIGuard\unseen\fake_168.jpg,aiguard_unseen,0.05,bottom_first,0.88067
C:\My_Project\AIGC\AIGuard\unseen\fake_168.jpg,aiguard_unseen,0.1,hot_first,0.909882
C:\My_Project\AIGC\AIGuard\unseen\fake_168.jpg,aiguard_unseen,0.1,bottom_first,0.866551
C:\My_Project\AIGC\AIGuard\unseen\fake_168.jpg,aiguard_unseen,0.2,hot_first,0.920698
C:\My_Project\AIGC\AIGuard\unseen\fake_168.jpg,aiguard_unseen,0.2,bottom_first,0.850141
C:\My_Project\AIGC\AIGuard\unseen\fake_168.jpg,aiguard_unseen,0.4,hot_first,0.918476
C:\My_Project\AIGC\AIGuard\unseen\fake_168.jpg,aiguard_unseen,0.4,bottom_first,0.835151
C:\My_Project\AIGC\AIGuard\unseen\fake_168.jpg,aiguard_unseen,0.6,hot_first,0.930244
C:\My_Project\AIGC\AIGuard\unseen\fake_168.jpg,aiguard_unseen,0.6,bottom_first,0.762621
C:\My_Project\AIGC\AIGuard\unseen\fake_168.jpg,aiguard_unseen,1.0,hot_first,0.921452
C:\My_Project\AIGC\AIGuard\unseen\fake_168.jpg,aiguard_unseen,1.0,bottom_first,0.921452
C:\My_Project\AIGC\AIGuard\unseen\fake_170.jpg,aiguard_unseen,0.05,hot_first,0.930394
C:\My_Project\AIGC\AIGuard\unseen\fake_170.jpg,aiguard_unseen,0.05,bottom_first,0.929646
C:\My_Project\AIGC\AIGuard\unseen\fake_170.jpg,aiguard_unseen,0.1,hot_first,0.932187
C:\My_Project\AIGC\AIGuard\unseen\fake_170.jpg,aiguard_unseen,0.1,bottom_first,0.918421
C:\My_Project\AIGC\AIGuard\unseen\fake_170.jpg,aiguard_unseen,0.2,hot_first,0.938299
C:\My_Project\AIGC\AIGuard\unseen\fake_170.jpg,aiguard_unseen,0.2,bottom_first,0.902382
C:\My_Project\AIGC\AIGuard\unseen\fake_170.jpg,aiguard_unseen,0.4,hot_first,0.938304
C:\My_Project\AIGC\AIGuard\unseen\fake_170.jpg,aiguard_unseen,0.4,bottom_first,0.886591
C:\My_Project\AIGC\AIGuard\unseen\fake_170.jpg,aiguard_unseen,0.6,hot_first,0.943246
C:\My_Project\AIGC\AIGuard\unseen\fake_170.jpg,aiguard_unseen,0.6,bottom_first,0.803553
C:\My_Project\AIGC\AIGuard\unseen\fake_170.jpg,aiguard_unseen,1.0,hot_first,0.942556
C:\My_Project\AIGC\AIGuard\unseen\fake_170.jpg,aiguard_unseen,1.0,bottom_first,0.942556
C:\My_Project\AIGC\AIGuard\unseen\fake_172.jpg,aiguard_unseen,0.05,hot_first,0.911823
C:\My_Project\AIGC\AIGuard\unseen\fake_172.jpg,aiguard_unseen,0.05,bottom_first,0.891729
C:\My_Project\AIGC\AIGuard\unseen\fake_172.jpg,aiguard_unseen,0.1,hot_first,0.913238
C:\My_Project\AIGC\AIGuard\unseen\fake_172.jpg,aiguard_unseen,0.1,bottom_first,0.887225
C:\My_Project\AIGC\AIGuard\unseen\fake_172.jpg,aiguard_unseen,0.2,hot_first,0.92157
C:\My_Project\AIGC\AIGuard\unseen\fake_172.jpg,aiguard_unseen,0.2,bottom_first,0.891558
C:\My_Project\AIGC\AIGuard\unseen\fake_172.jpg,aiguard_unseen,0.4,hot_first,0.926086
C:\My_Project\AIGC\AIGuard\unseen\fake_172.jpg,aiguard_unseen,0.4,bottom_first,0.790555
C:\My_Project\AIGC\AIGuard\unseen\fake_172.jpg,aiguard_unseen,0.6,hot_first,0.926566
C:\My_Project\AIGC\AIGuard\unseen\fake_172.jpg,aiguard_unseen,0.6,bottom_first,0.711567
C:\My_Project\AIGC\AIGuard\unseen\fake_172.jpg,aiguard_unseen,1.0,hot_first,0.928545
C:\My_Project\AIGC\AIGuard\unseen\fake_172.jpg,aiguard_unseen,1.0,bottom_first,0.928545
C:\My_Project\AIGC\AIGuard\unseen\fake_176.jpg,aiguard_unseen,0.05,hot_first,0.927728
C:\My_Project\AIGC\AIGuard\unseen\fake_176.jpg,aiguard_unseen,0.05,bottom_first,0.909089
C:\My_Project\AIGC\AIGuard\unseen\fake_176.jpg,aiguard_unseen,0.1,hot_first,0.927741
C:\My_Project\AIGC\AIGuard\unseen\fake_176.jpg,aiguard_unseen,0.1,bottom_first,0.906862
C:\My_Project\AIGC\AIGuard\unseen\fake_176.jpg,aiguard_unseen,0.2,hot_first,0.931445
C:\My_Project\AIGC\AIGuard\unseen\fake_176.jpg,aiguard_unseen,0.2,bottom_first,0.901033
C:\My_Project\AIGC\AIGuard\unseen\fake_176.jpg,aiguard_unseen,0.4,hot_first,0.931715
C:\My_Project\AIGC\AIGuard\unseen\fake_176.jpg,aiguard_unseen,0.4,bottom_first,0.859877
C:\My_Project\AIGC\AIGuard\unseen\fake_176.jpg,aiguard_unseen,0.6,hot_first,0.931358
C:\My_Project\AIGC\AIGuard\unseen\fake_176.jpg,aiguard_unseen,0.6,bottom_first,0.782782
C:\My_Project\AIGC\AIGuard\unseen\fake_176.jpg,aiguard_unseen,1.0,hot_first,0.932844
C:\My_Project\AIGC\AIGuard\unseen\fake_176.jpg,aiguard_unseen,1.0,bottom_first,0.932844
C:\My_Project\AIGC\AIGuard\unseen\fake_177.jpg,aiguard_unseen,0.05,hot_first,0.926009
C:\My_Project\AIGC\AIGuard\unseen\fake_177.jpg,aiguard_unseen,0.05,bottom_first,0.896044
C:\My_Project\AIGC\AIGuard\unseen\fake_177.jpg,aiguard_unseen,0.1,hot_first,0.927283
C:\My_Project\AIGC\AIGuard\unseen\fake_177.jpg,aiguard_unseen,0.1,bottom_first,0.895119
C:\My_Project\AIGC\AIGuard\unseen\fake_177.jpg,aiguard_unseen,0.2,hot_first,0.928796
C:\My_Project\AIGC\AIGuard\unseen\fake_177.jpg,aiguard_unseen,0.2,bottom_first,0.863543
C:\My_Project\AIGC\AIGuard\unseen\fake_177.jpg,aiguard_unseen,0.4,hot_first,0.92772
C:\My_Project\AIGC\AIGuard\unseen\fake_177.jpg,aiguard_unseen,0.4,bottom_first,0.817533
C:\My_Project\AIGC\AIGuard\unseen\fake_177.jpg,aiguard_unseen,0.6,hot_first,0.930695
C:\My_Project\AIGC\AIGuard\unseen\fake_177.jpg,aiguard_unseen,0.6,bottom_first,0.705469
C:\My_Project\AIGC\AIGuard\unseen\fake_177.jpg,aiguard_unseen,1.0,hot_first,0.92821
C:\My_Project\AIGC\AIGuard\unseen\fake_177.jpg,aiguard_unseen,1.0,bottom_first,0.92821
C:\My_Project\AIGC\AIGuard\unseen\fake_179.jpg,aiguard_unseen,0.05,hot_first,0.931886
C:\My_Project\AIGC\AIGuard\unseen\fake_179.jpg,aiguard_unseen,0.05,bottom_first,0.90153
C:\My_Project\AIGC\AIGuard\unseen\fake_179.jpg,aiguard_unseen,0.1,hot_first,0.924811
C:\My_Project\AIGC\AIGuard\unseen\fake_179.jpg,aiguard_unseen,0.1,bottom_first,0.907938
C:\My_Project\AIGC\AIGuard\unseen\fake_179.jpg,aiguard_unseen,0.2,hot_first,0.929233
C:\My_Project\AIGC\AIGuard\unseen\fake_179.jpg,aiguard_unseen,0.2,bottom_first,0.903615
C:\My_Project\AIGC\AIGuard\unseen\fake_179.jpg,aiguard_unseen,0.4,hot_first,0.929363
C:\My_Project\AIGC\AIGuard\unseen\fake_179.jpg,aiguard_unseen,0.4,bottom_first,0.87432
C:\My_Project\AIGC\AIGuard\unseen\fake_179.jpg,aiguard_unseen,0.6,hot_first,0.931387
C:\My_Project\AIGC\AIGuard\unseen\fake_179.jpg,aiguard_unseen,0.6,bottom_first,0.804018
C:\My_Project\AIGC\AIGuard\unseen\fake_179.jpg,aiguard_unseen,1.0,hot_first,0.933356
C:\My_Project\AIGC\AIGuard\unseen\fake_179.jpg,aiguard_unseen,1.0,bottom_first,0.933356
C:\My_Project\AIGC\AIGuard\unseen\fake_184.jpg,aiguard_unseen,0.05,hot_first,0.896658
C:\My_Project\AIGC\AIGuard\unseen\fake_184.jpg,aiguard_unseen,0.05,bottom_first,0.886802
C:\My_Project\AIGC\AIGuard\unseen\fake_184.jpg,aiguard_unseen,0.1,hot_first,0.906819
C:\My_Project\AIGC\AIGuard\unseen\fake_184.jpg,aiguard_unseen,0.1,bottom_first,0.891433
C:\My_Project\AIGC\AIGuard\unseen\fake_184.jpg,aiguard_unseen,0.2,hot_first,0.914632
C:\My_Project\AIGC\AIGuard\unseen\fake_184.jpg,aiguard_unseen,0.2,bottom_first,0.860132
C:\My_Project\AIGC\AIGuard\unseen\fake_184.jpg,aiguard_unseen,0.4,hot_first,0.920573
