evidence_feature,family,fake_source,n_fake,n_real,effect_size,auroc,auroc_ci_lower,auroc_ci_upper,direction,corr_with_v811_fake_prob,corr_with_cam_faithfulness,n_matched_cam,resolution_confound_corr_real,resolution_confound_corr_fake,face_size_confound_corr_real,face_size_confound_corr_fake,direction_consistent_across_sources,between_source_resolution_confound_spearman
freq_band_ratio_high_low,frequency,stylegan2_ood,60,210,0.7290338603670877,0.7801587301587302,0.7201329365079364,0.8369067460317461,higher-in-fake,-0.22067240900250076,,0,0.1353666551266325,,0.28977469898522534,0.10208391219783275,False,-0.10514407440226743
freq_band_ratio_high_low,frequency,df40_dit,44,210,-0.8054064306388512,0.16948051948051948,0.1155573593073593,0.23400162337662336,higher-in-real,0.20253699788583507,0.28181818181818186,11,0.1353666551266325,,0.28977469898522534,0.3193798449612402,False,-0.10514407440226743
freq_band_ratio_high_low,frequency,df40_sit,45,210,-0.6845551724274292,0.2328042328042328,0.15765079365079365,0.3052037037037037,higher-in-real,-0.3181818181818182,0.08571428571428573,6,0.1353666551266325,,0.28977469898522534,-0.21225296442687747,False,-0.10514407440226743
freq_band_ratio_high_low,frequency,df40_ddim,45,210,-0.09676860482742546,0.5521693121693122,0.47269312169312167,0.628473544973545,higher-in-real,-0.4098814229249011,0.39285714285714296,7,0.1353666551266325,,0.28977469898522534,-0.13188405797101446,False,-0.10514407440226743
freq_band_ratio_high_low,frequency,df40_pixart,45,210,-0.8942471793804789,0.12201058201058201,0.07671957671957672,0.17164021164021165,higher-in-real,-0.3014492753623188,0.3,9,0.1353666551266325,,0.28977469898522534,-0.28629776021080366,False,-0.10514407440226743
freq_band_ratio_high_low,frequency,df40_sd21,44,210,-0.877509336496579,0.14415584415584415,0.09479707792207792,0.20205898268398267,higher-in-real,-0.22466525722339672,0.2142857142857143,8,0.1353666551266325,,0.28977469898522534,-0.03171247357293869,False,-0.10514407440226743
freq_band_ratio_high_low,frequency,midjourney,45,210,0.07092014148692591,0.6189417989417989,0.5445132275132275,0.6946058201058201,higher-in-fake,-0.20685111989459812,0.09999999999999999,9,0.1353666551266325,,0.28977469898522534,0.3374176548089591,False,-0.10514407440226743
freq_band_ratio_mid_low,frequency,aiguard_unseen,60,210,0.5415852782779405,0.6129365079365079,0.5318472222222222,0.6873908730158731,higher-in-fake,-0.27579883300916924,0.6107142857142855,15,-0.15463395548825618,0.23589752348480558,-0.026750880698249123,-0.46801889413726044,False,-0.37756281262632396
freq_band_ratio_mid_low,frequency,stylegan2_ood,60,210,0.02403527645720272,0.5456349206349206,0.47107142857142853,0.6188571428571428,higher-in-fake,-0.1196999166435121,,0,-0.15463395548825618,,-0.026750880698249123,0.050069463739927766,False,-0.37756281262632396
freq_band_ratio_mid_low,frequency,df40_dit,44,210,-1.284938164263115,0.11807359307359307,0.06893398268398268,0.17532738095238096,higher-in-real,-0.13488372093023254,0.36363636363636365,11,-0.15463395548825618,,-0.026750880698249123,0.021705426356589147,False,-0.37756281262632396
freq_band_ratio_mid_low,frequency,df40_sit,45,210,-1.3926799552662885,0.09492063492063492,0.051843915343915345,0.14320634920634917,higher-in-real,-0.5295125164690382,0.3142857142857143,6,-0.15463395548825618,,-0.026750880698249123,-0.25362318840579706,False,-0.37756281262632396
freq_band_ratio_mid_low,frequency,df40_ddim,45,210,-0.5830772345819246,0.32306878306878306,0.24084126984126983,0.40540211640211643,higher-in-real,-0.4204216073781291,0.39285714285714296,7,-0.15463395548825618,,-0.026750880698249123,-0.051383399209486154,False,-0.37756281262632396
freq_band_ratio_mid_low,frequency,df40_pixart,45,210,-1.7701489297372504,0.015026455026455027,0.0035978835978835977,0.03174867724867724,higher-in-real,-0.2089591567852437,0.11666666666666665,9,-0.15463395548825618,,-0.026750880698249123,-0.40869565217391296,False,-0.37756281262632396
freq_band_ratio_mid_low,frequency,df40_sd21,44,210,-1.5076507452628916,0.08333333333333333,0.026298701298701297,0.1530384199134199,higher-in-real,-0.38745595489781537,-0.023809523809523815,8,-0.15463395548825618,,-0.026750880698249123,-0.08921775898520085,False,-0.37756281262632396
freq_band_ratio_mid_low,frequency,midjourney,45,210,-0.18981577903294547,0.4668783068783069,0.384542328042328,0.5488915343915344,higher-in-real,-0.08866930171277997,0.33333333333333337,9,-0.15463395548825618,,-0.026750880698249123,0.2901185770750988,False,-0.37756281262632396
