model,source,filter_type,n_failures,n_total_composites,failure_mode,count,pct_of_failures,pct_of_all_composites
v816@0.95_calibrated,DF40-cdf-DiT,whitening_medium,36,36,filter_head_miss,33,91.66666666666666,91.66666666666666
v816@0.95_calibrated,DF40-cdf-DiT,whitening_medium,36,36,threshold_calibration_miss,3,8.333333333333332,8.333333333333332
v816@0.95_calibrated,DF40-cdf-DiT,whitening_medium,36,36,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-SiT,eye_enlarging,42,42,layer1_real,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-SiT,eye_enlarging,42,42,fake_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-SiT,eye_enlarging,42,42,filter_head_miss,37,88.09523809523809,88.09523809523809
v816@0.95_calibrated,DF40-cdf-SiT,eye_enlarging,42,42,threshold_calibration_miss,5,11.904761904761903,11.904761904761903
v816@0.95_calibrated,DF40-cdf-SiT,eye_enlarging,42,42,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-SiT,face_reshaping,42,42,layer1_real,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-SiT,face_reshaping,42,42,fake_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-SiT,face_reshaping,42,42,filter_head_miss,31,73.80952380952381,73.80952380952381
v816@0.95_calibrated,DF40-cdf-SiT,face_reshaping,42,42,threshold_calibration_miss,11,26.190476190476193,26.190476190476193
v816@0.95_calibrated,DF40-cdf-SiT,face_reshaping,42,42,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-SiT,smoothing_medium,35,42,layer1_real,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-SiT,smoothing_medium,35,42,fake_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-SiT,smoothing_medium,35,42,filter_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-SiT,smoothing_medium,35,42,threshold_calibration_miss,35,100.0,83.33333333333334
v816@0.95_calibrated,DF40-cdf-SiT,smoothing_medium,35,42,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-SiT,whitening_medium,42,42,layer1_real,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-SiT,whitening_medium,42,42,fake_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-SiT,whitening_medium,42,42,filter_head_miss,38,90.47619047619048,90.47619047619048
v816@0.95_calibrated,DF40-cdf-SiT,whitening_medium,42,42,threshold_calibration_miss,4,9.523809523809524,9.523809523809524
v816@0.95_calibrated,DF40-cdf-SiT,whitening_medium,42,42,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-ddim,eye_enlarging,40,40,layer1_real,1,2.5,2.5
v816@0.95_calibrated,DF40-cdf-ddim,eye_enlarging,40,40,fake_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-ddim,eye_enlarging,40,40,filter_head_miss,18,45.0,45.0
v816@0.95_calibrated,DF40-cdf-ddim,eye_enlarging,40,40,threshold_calibration_miss,21,52.5,52.5
v816@0.95_calibrated,DF40-cdf-ddim,eye_enlarging,40,40,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-ddim,face_reshaping,40,40,layer1_real,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-ddim,face_reshaping,40,40,fake_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-ddim,face_reshaping,40,40,filter_head_miss,22,55.00000000000001,55.00000000000001
v816@0.95_calibrated,DF40-cdf-ddim,face_reshaping,40,40,threshold_calibration_miss,18,45.0,45.0
v816@0.95_calibrated,DF40-cdf-ddim,face_reshaping,40,40,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-ddim,smoothing_medium,16,40,layer1_real,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-ddim,smoothing_medium,16,40,fake_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-ddim,smoothing_medium,16,40,filter_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-ddim,smoothing_medium,16,40,threshold_calibration_miss,16,100.0,40.0
v816@0.95_calibrated,DF40-cdf-ddim,smoothing_medium,16,40,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-ddim,whitening_medium,40,40,layer1_real,1,2.5,2.5
v816@0.95_calibrated,DF40-cdf-ddim,whitening_medium,40,40,fake_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-ddim,whitening_medium,40,40,filter_head_miss,32,80.0,80.0
v816@0.95_calibrated,DF40-cdf-ddim,whitening_medium,40,40,threshold_calibration_miss,7,17.5,17.5
v816@0.95_calibrated,DF40-cdf-ddim,whitening_medium,40,40,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-pixart,eye_enlarging,43,43,layer1_real,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-pixart,eye_enlarging,43,43,fake_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-pixart,eye_enlarging,43,43,filter_head_miss,38,88.37209302325581,88.37209302325581
v816@0.95_calibrated,DF40-cdf-pixart,eye_enlarging,43,43,threshold_calibration_miss,5,11.627906976744185,11.627906976744185
v816@0.95_calibrated,DF40-cdf-pixart,eye_enlarging,43,43,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-pixart,face_reshaping,43,43,layer1_real,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-pixart,face_reshaping,43,43,fake_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-pixart,face_reshaping,43,43,filter_head_miss,39,90.69767441860465,90.69767441860465
v816@0.95_calibrated,DF40-cdf-pixart,face_reshaping,43,43,threshold_calibration_miss,4,9.30232558139535,9.30232558139535
v816@0.95_calibrated,DF40-cdf-pixart,face_reshaping,43,43,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-pixart,smoothing_medium,43,43,layer1_real,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-pixart,smoothing_medium,43,43,fake_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-pixart,smoothing_medium,43,43,filter_head_miss,39,90.69767441860465,90.69767441860465
v816@0.95_calibrated,DF40-cdf-pixart,smoothing_medium,43,43,threshold_calibration_miss,4,9.30232558139535,9.30232558139535
v816@0.95_calibrated,DF40-cdf-pixart,smoothing_medium,43,43,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-pixart,whitening_medium,43,43,layer1_real,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-pixart,whitening_medium,43,43,fake_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-pixart,whitening_medium,43,43,filter_head_miss,39,90.69767441860465,90.69767441860465
v816@0.95_calibrated,DF40-cdf-pixart,whitening_medium,43,43,threshold_calibration_miss,4,9.30232558139535,9.30232558139535
v816@0.95_calibrated,DF40-cdf-pixart,whitening_medium,43,43,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-sd2.1,eye_enlarging,37,37,layer1_real,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-sd2.1,eye_enlarging,37,37,fake_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-sd2.1,eye_enlarging,37,37,filter_head_miss,31,83.78378378378379,83.78378378378379
