id,source,ftype,source_stem,lab_deltaE_mean,lab_deltaE_median,changed_pixel_proportion,face_region_changed_proportion,eye_region_changed_proportion,face_region_coverage_of_changed_pixels,eye_region_coverage_of_changed_pixels,fft_logmag_diff_mean,fft_logmag_diff_std,fft_logmag_diff_absmean,image_width,image_height,face_bbox_w,face_bbox_h,face_bbox_area_frac
repl0058_eye_enlarging,DF40-cdf-pixart,eye_enlarging,Celeb-real_id38_0009_131,0.9337980151176453,0.0,0.08595752716064453,0.19606394069269084,0.30099415263265106,0.9389568748405135,1.0,0.0029334526043385267,0.6168015599250793,0.43021389842033386,1024,1024,624.8892822265625,821.3326416015625,0.4894656800075978
repl0058_face_reshaping,DF40-cdf-pixart,face_reshaping,Celeb-real_id38_0009_131,0.2538520395755768,0.0,0.014425277709960938,0.014866211050619716,0.03918170251560355,0.4242364141213804,0.7756842522808409,0.0025653764605522156,0.30984869599342346,0.1912222057580948,1024,1024,624.8892822265625,821.3326416015625,0.4894656800075978
repl0059_smoothing_medium,DF40-cdf-sd2.1,smoothing_medium,Celeb-real_id31_0009_458,1.7689112424850464,1.4142135381698608,0.23430633544921875,0.2770729311614963,0.28790285141837907,0.27555273354824006,0.19183680114616913,-0.2269669473171234,0.8913865685462952,0.7010627388954163,512,512,263.4108581542969,285.7631530761719,0.28714415504711965
repl0059_whitening_medium,DF40-cdf-sd2.1,whitening_medium,Celeb-real_id31_0009_458,19.84743881225586,19.05255889892578,1.0,1.0,1.0,0.23302078247070312,0.15612411499023438,-0.042396459728479385,0.8368499875068665,0.6233398914337158,512,512,263.4108581542969,285.7631530761719,0.28714415504711965
repl0059_eye_enlarging,DF40-cdf-sd2.1,eye_enlarging,Celeb-real_id31_0009_458,0.40991902351379395,0.0,0.04048919677734375,0.17343046574445445,0.25933980013194224,0.9981156962502356,1.0,-0.0033045050222426653,0.5780627131462097,0.40184110403060913,512,512,263.4108581542969,285.7631530761719,0.28714415504711965
repl0059_face_reshaping,DF40-cdf-sd2.1,face_reshaping,Celeb-real_id31_0009_458,0.5471145510673523,0.0,0.052883148193359375,0.10606531881804043,0.18269113299288978,0.46735915746952317,0.5393493471831494,-0.003544121515005827,0.4888142943382263,0.3287133574485779,512,512,263.4108581542969,285.7631530761719,0.28714415504711965
repl0060_smoothing_medium,DF40-cdf-DiT,smoothing_medium,15777,3.247504472732544,2.2360680103302,0.460693359375,0.5694195092758827,0.5623122439690487,0.3151497085320615,0.2045906200317965,0.024164622649550438,0.7777855396270752,0.5684444904327393,256,256,132.80450439453125,157.2274169921875,0.31861128526122684
repl0060_whitening_medium,DF40-cdf-DiT,whitening_medium,15777,17.88088607788086,16.031219482421875,0.997406005859375,1.0,1.0,0.2556374873787596,0.16805372823792186,-0.10687295347452164,0.6540518999099731,0.45800021290779114,256,256,132.80450439453125,157.2274169921875,0.31861128526122684
repl0060_eye_enlarging,DF40-cdf-DiT,eye_enlarging,15777,0.3846530020236969,0.0,0.0510101318359375,0.18557749850388988,0.30432407828857533,0.9276099311995214,1.0,-0.00031623986433260143,0.3659496009349823,0.21937204897403717,256,256,132.80450439453125,157.2274169921875,0.31861128526122684
repl0060_face_reshaping,DF40-cdf-DiT,face_reshaping,15777,1.9991638660430908,0.0,0.1576385498046875,0.31980849790544585,0.43067819754210285,0.5172780950537218,0.4579421159616688,-0.005318720359355211,0.5104117393493652,0.33721646666526794,256,256,132.80450439453125,157.2274169921875,0.31861128526122684
repl0061_smoothing_medium,DF40-cdf-pixart,smoothing_medium,YouTube-real_00009_055,1.1094709634780884,1.0,0.12939929962158203,0.12313234571696871,0.1452354819397326,0.2715554409109334,0.21454840255002394,-0.0353558249771595,0.8493148684501648,0.6329264044761658,1024,1024,550.7587280273438,675.8187255859375,0.35497003715588704
repl0061_whitening_medium,DF40-cdf-pixart,whitening_medium,YouTube-real_00009_055,19.00480842590332,18.027755737304688,0.8770875930786133,1.0,0.9990021951706246,0.3253683566146529,0.21772482774143112,-0.022390419617295265,0.8328222632408142,0.616723358631134,1024,1024,550.7587280273438,675.8187255859375,0.35497003715588704
repl0061_eye_enlarging,DF40-cdf-pixart,eye_enlarging,YouTube-real_00009_055,0.5278784036636353,0.0,0.05363655090332031,0.18327824915869922,0.28059269606864895,0.9751431314675865,1.0,-0.0013993199681863189,0.5960074067115784,0.4133692979812622,1024,1024,550.7587280273438,675.8187255859375,0.35497003715588704
repl0061_face_reshaping,DF40-cdf-pixart,face_reshaping,YouTube-real_00009_055,0.32889625430107117,0.0,0.016318321228027344,0.024699320609947232,0.059149870285372184,0.43194436327508623,0.6928876161533516,0.002337562618777156,0.33054691553115845,0.20546351373195648,1024,1024,550.7587280273438,675.8187255859375,0.35497003715588704
repl0062_smoothing_medium,DF40-cdf-ddim,smoothing_medium,Celeb-real_id17_0001_314,5.653552055358887,4.358899116516113,0.772613525390625,0.7238149158474445,0.7060002970444081,0.2777382786270095,0.18775921317691668,-0.47928985953330994,0.676887035369873,0.6506174206733704,256,256,140.02749633789062,163.88108825683594,0.35015653206991004
repl0062_whitening_medium,DF40-cdf-ddim,whitening_medium,Celeb-real_id17_0001_314,19.32489585876465,20.02498435974121,0.9843292236328125,0.9948015852591487,0.9935392841229764,0.2996171076903998,0.2073974174146243,-0.16194042563438416,0.3448133170604706,0.2668963670730591,256,256,140.02749633789062,163.88108825683594,0.35015653206991004
repl0062_eye_enlarging,DF40-cdf-ddim,eye_enlarging,Celeb-real_id17_0001_314,0.632929265499115,0.0,0.074981689453125,0.23959030315507746,0.3646220109906431,0.9472934472934473,0.9991859991859992,-0.0019505283562466502,0.32314828038215637,0.19681672751903534,256,256,140.02749633789062,163.88108825683594,0.35015653206991004
repl0062_face_reshaping,DF40-cdf-ddim,face_reshaping,Celeb-real_id17_0001_314,3.4497032165527344,0.0,0.2350616455078125,0.3505069741108652,0.4735630476756275,0.44206426484907496,0.4139565076273937,-0.04321475327014923,0.5526773929595947,0.376705139875412,256,256,140.02749633789062,163.88108825683594,0.35015653206991004
repl0063_smoothing_medium,DF40-cdf-SiT,smoothing_medium,9002,2.8743622303009033,2.2360680103302,0.461944580078125,0.6042729400468103,0.6337474120082816,0.3325956266102927,0.20221972649798506,0.15706586837768555,0.863244891166687,0.6552179455757141,256,256,130.297119140625,153.8533935546875,0.30588766403479895
repl0063_whitening_medium,DF40-cdf-SiT,whitening_medium,9002,29.66748809814453,35.05709457397461,1.0,1.0,1.0,0.2542572021484375,0.14739990234375,-0.06806223094463348,0.7498102784156799,0.540179967880249,256,256,130.297119140625,153.8533935546875,0.30588766403479895
repl0063_eye_enlarging,DF40-cdf-SiT,eye_enlarging,9002,0.39193665981292725,0.0,0.0498809814453125,0.18766128548280622,0.3346790890269151,0.9565616396451514,0.9889874579382074,-0.005578007083386183,0.5066132545471191,0.3343542814254761,256,256,130.297119140625,153.8533935546875,0.30588766403479895
repl0063_face_reshaping,DF40-cdf-SiT,face_reshaping,9002,2.4910709857940674,0.0,0.18157958984375,0.34813659004981096,0.515424430641822,0.48747899159663866,0.4184033613445378,-0.038945846259593964,0.7567289471626282,0.5535125732421875,256,256,130.297119140625,153.8533935546875,0.30588766403479895
repl0064_smoothing_medium,DF40-cdf-pixart,smoothing_medium,Celeb-real_id36_0009_049,0.7912413477897644,0.0,0.0825815200805664,0.06850635423503693,0.08393156606629391,0.3061563867749125,0.2491078955573776,-0.050961706787347794,0.883727490901947,0.6682146787643433,1024,1024,620.94873046875,742.038330078125,0.43942237760654734
repl0064_whitening_medium,DF40-cdf-pixart,whitening_medium,Celeb-real_id36_0009_049,27.51378059387207,26.038433074951172,1.0,1.0,1.0,0.36905860900878906,0.2451009750366211,0.03528500720858574,0.88270103931427,0.6679976582527161,1024,1024,620.94873046875,742.038330078125,0.43942237760654734
repl0064_eye_enlarging,DF40-cdf-pixart,eye_enlarging,Celeb-real_id36_0009_049,0.669093668460846,0.0,0.07547855377197266,0.19987544769061413,0.3079488107327816,0.9773074736243603,1.0,0.00239745550788939,0.6871953010559082,0.49385207891464233,1024,1024,620.94873046875,742.038330078125,0.43942237760654734
repl0064_face_reshaping,DF40-cdf-pixart,face_reshaping,Celeb-real_id36_0009_049,0.2531464993953705,0.0,0.01654529571533203,0.024845860056952964,0.04703373838066668,0.5542106173266471,0.6967548561876765,0.0031033549457788467,0.3417070209980011,0.21570219099521637,1024,1024,620.94873046875,742.038330078125,0.43942237760654734
repl0065_smoothing_medium,DF40-cdf-ddim,smoothing_medium,Celeb-real_id3_0001_073,4.7556610107421875,3.316624879837036,0.6692047119140625,0.8153120083901416,0.7976667881881152,0.3545158127550904,0.24944706660282281,-0.15168879926204681,0.7397611737251282,0.5563819408416748,256,256,139.7325439453125,162.16969299316406,0.34577001575874533
repl0065_whitening_medium,DF40-cdf-ddim,whitening_medium,Celeb-real_id3_0001_073,22.95328140258789,25.0,0.917877197265625,0.9999475616151022,0.9999270871308786,0.31700302556770954,0.22798151411377465,-0.14814184606075287,0.3802044689655304,0.2796746790409088,256,256,139.7325439453125,162.16969299316406,0.34577001575874533
repl0065_eye_enlarging,DF40-cdf-ddim,eye_enlarging,Celeb-real_id3_0001_073,0.7816669344902039,0.0,0.08544921875,0.2794441531200839,0.4067079839591688,0.9516071428571429,0.9960714285714286,-0.04478992521762848,0.5249695777893066,0.3532302975654602,256,256,139.7325439453125,162.16969299316406,0.34577001575874533
repl0065_face_reshaping,DF40-cdf-ddim,face_reshaping,Celeb-real_id3_0001_073,3.8425772190093994,0.0,0.2257080078125,0.36444677503932876,0.48129784907036094,0.469848566792861,0.4462547322877231,-0.08570200204849243,0.6613374948501587,0.4761873483657837,256,256,139.7325439453125,162.16969299316406,0.34577001575874533
repl0066_smoothing_medium,DF40-cdf-pixart,smoothing_medium,Celeb-real_id23_0008_287,0.8873414397239685,1.0,0.08506107330322266,0.08369069633975258,0.1032161118869237,0.23543327391162983,0.21794311212763334,-0.07149677723646164,0.8783953189849854,0.664139449596405,1024,1024,509.3122863769531,605.59326171875,0.2941475760845691
repl0066_whitening_medium,DF40-cdf-pixart,whitening_medium,Celeb-real_id23_0008_287,18.120119094848633,18.055469512939453,0.9066610336303711,0.9999521744675424,1.0,0.2639099697802573,0.19809867014198967,0.011900249868631363,0.8683393597602844,0.652058482170105,1024,1024,509.3122863769531,605.59326171875,0.2941475760845691
repl0066_eye_enlarging,DF40-cdf-pixart,eye_enlarging,Celeb-real_id23_0008_287,0.333429753780365,0.0,0.04369354248046875,0.17978813289121284,0.2432712270287204,0.9846123624934521,1.0,0.0004843747883569449,0.6041579842567444,0.4212706983089447,1024,1024,509.3122863769531,605.59326171875,0.2941475760845691
repl0066_face_reshaping,DF40-cdf-pixart,face_reshaping,Celeb-real_id23_0008_287,0.19127601385116577,0.0,0.013851165771484375,0.02233053819665859,0.05917709588866529,0.3857752685210686,0.767350592123382,0.0034961968194693327,0.3509351909160614,0.2204819768667221,1024,1024,509.3122863769531,605.59326171875,0.2941475760845691
repl0067_smoothing_medium,DF40-cdf-ddim,smoothing_medium,Celeb-real_id35_0003_204,3.208359718322754,2.0,0.43310546875,0.7296709585121602,0.6996913580246914,0.4492319616685457,0.3194757609921082,0.09467607736587524,0.7750704884529114,0.5689789056777954,256,256,132.49598693847656,157.4417724609375,0.3183044895561977
repl0067_whitening_medium,DF40-cdf-ddim,whitening_medium,Celeb-real_id35_0003_204,14.31825065612793,10.0,0.9834747314453125,0.9998855507868384,0.9998456790123457,0.27109676818767164,0.20104572324019052,-0.15814143419265747,0.39141979813575745,0.28678369522094727,256,256,132.49598693847656,157.4417724609375,0.3183044895561977
repl0067_eye_enlarging,DF40-cdf-ddim,eye_enlarging,Celeb-real_id35_0003_204,0.5309078097343445,0.0,0.0636444091796875,0.22666666666666666,0.3215277777777778,0.9496523615439942,0.9990409973627428,-0.03085976466536522,0.48398545384407043,0.32125750184059143,256,256,132.49598693847656,157.4417724609375,0.3183044895561977
repl0067_face_reshaping,DF40-cdf-ddim,face_reshaping,Celeb-real_id35_0003_204,2.700566053390503,0.0,0.1875,0.3536480686695279,0.47716049382716047,0.5029296875,0.5032552083333334,-0.1192220076918602,0.7273036241531372,0.5327073931694031,256,256,132.49598693847656,157.4417724609375,0.3183044895561977
repl0068_smoothing_medium,DF40-cdf-DiT,smoothing_medium,3061,2.7487316131591797,2.0,0.3909149169921875,0.4787931534667827,0.4929017090152817,0.32210468792692926,0.2127717709512471,-0.12357950210571289,0.8288520574569702,0.625300407409668,256,256,129.8260040283203,158.4700927734375,0.31392729038654466
repl0068_whitening_medium,DF40-cdf-DiT,whitening_medium,3061,12.983349800109863,13.0,0.9998931884765625,1.0,1.0,0.26301332234583163,0.1687649742861939,-0.07646312564611435,0.7437140345573425,0.5328267216682434,256,256,129.8260040283203,158.4700927734375,0.31392729038654466
repl0068_eye_enlarging,DF40-cdf-DiT,eye_enlarging,3061,0.24574574828147888,0.0,0.0338897705078125,0.12863359442993907,0.20083190161859119,0.9981990094552003,1.0,-0.005463286302983761,0.430778831243515,0.2730415463447571,256,256,129.8260040283203,158.4700927734375,0.31392729038654466
repl0068_face_reshaping,DF40-cdf-DiT,face_reshaping,3061,2.1449379920959473,0.0,0.15203857421875,0.20644038294168843,0.34786147029568676,0.35708550782818144,0.38608992372541145,-0.021806208416819572,0.6788066029548645,0.4781319200992584,256,256,129.8260040283203,158.4700927734375,0.31392729038654466
repl0069_smoothing_medium,DF40-cdf-pixart,smoothing_medium,Celeb-real_id32_0008_365,0.8784342408180237,0.0,0.09647655487060547,0.11809777270434575,0.12380541076765854,0.3517985824856914,0.28621136186155016,-0.06833630055189133,0.8765606880187988,0.6635738611221313,1024,1024,556.5654296875,671.701171875,0.3565269959890429
repl0069_whitening_medium,DF40-cdf-pixart,whitening_medium,Celeb-real_id32_0008_365,24.322065353393555,22.045408248901367,1.0,1.0,1.0,0.28739166259765625,0.22303295135498047,0.028131749480962753,0.8701502680778503,0.654557466506958,1024,1024,556.5654296875,671.701171875,0.3565269959890429
repl0069_eye_enlarging,DF40-cdf-pixart,eye_enlarging,Celeb-real_id32_0008_365,0.6525720357894897,0.0,0.07518386840820312,0.259417558204359,0.33709758110378973,0.9916281901669288,1.0,0.0015102659817785025,0.6654964685440063,0.47565242648124695,1024,1024,556.5654296875,671.701171875,0.3565269959890429
repl0069_face_reshaping,DF40-cdf-pixart,face_reshaping,Celeb-real_id32_0008_365,0.2913530766963959,0.0,0.015685081481933594,0.0303432530728185,0.06836364258317762,0.5559676536754423,0.972092174864717,0.0025135893374681473,0.33517441153526306,0.2110365480184555,1024,1024,556.5654296875,671.701171875,0.3565269959890429
repl0070_smoothing_medium,DF40-cdf-DiT,smoothing_medium,6750,3.342792272567749,2.4494898319244385,0.5084075927734375,0.5685602107251131,0.6071751087759626,0.34334763948497854,0.22197544944326061,0.10156963020563126,0.8865902423858643,0.669130265712738,256,256,144.59317016601562,162.5078582763672,0.3585437989054796
repl0070_whitening_medium,DF40-cdf-DiT,whitening_medium,6750,27.327701568603516,28.017850875854492,0.9999847412109375,1.0,1.0,0.3070267795834287,0.18587014572365912,-0.09130840003490448,0.6869755983352661,0.4815106689929962,256,256,144.59317016601562,162.5078582763672,0.3585437989054796
repl0070_eye_enlarging,DF40-cdf-DiT,eye_enlarging,6750,0.40220803022384644,0.0,0.0545806884765625,0.16684061428358432,0.29209424513586735,0.938495946323735,0.9946882862734134,-0.0016095440369099379,0.4514290690422058,0.28986090421676636,256,256,144.59317016601562,162.5078582763672,0.3585437989054796
repl0070_face_reshaping,DF40-cdf-DiT,face_reshaping,6750,1.9231144189834595,0.0,0.1553192138671875,0.24447095074797476,0.320334947869633,0.4832498280774143,0.3833382454072109,-0.013227352872490883,0.6093441247940063,0.42344534397125244,256,256,144.59317016601562,162.5078582763672,0.3585437989054796
repl0071_smoothing_medium,DF40-cdf-sd2.1,smoothing_medium,Celeb-real_id32_0002_159,2.2530605792999268,2.0,0.3509368896484375,0.4450124069478908,0.48206917475728156,0.29241488760380885,0.17271403104482805,-1.125121831893921,1.0550410747528076,1.2647829055786133,512,512,241.18292236328125,298.5508728027344,0.2746786955897207
repl0071_whitening_medium,DF40-cdf-sd2.1,whitening_medium,Celeb-real_id32_0002_159,20.037799835205078,18.138357162475586,0.9962844848632812,1.0,1.0,0.23145843703334992,0.12620132480759658,-0.20474043488502502,0.7128271460533142,0.5428106188774109,512,512,241.18292236328125,298.5508728027344,0.2746786955897207
repl0071_eye_enlarging,DF40-cdf-sd2.1,eye_enlarging,Celeb-real_id32_0002_159,0.32589566707611084,0.0,0.04709625244140625,0.2005955334987593,0.3745449029126214,0.9821804633079539,0.9999190021059452,-0.02159625105559826,0.4630892276763916,0.30641159415245056,512,512,241.18292236328125,298.5508728027344,0.2746786955897207
repl0071_face_reshaping,DF40-cdf-sd2.1,face_reshaping,Celeb-real_id32_0002_159,0.5765805840492249,0.0,0.0537261962890625,0.10688172043010753,0.18176577669902913,0.4587475149105368,0.4253763135472877,-0.020921502262353897,0.3987869918346405,0.25625258684158325,512,512,241.18292236328125,298.5508728027344,0.2746786955897207
repl0072_smoothing_medium,DF40-cdf-ddim,smoothing_medium,Celeb-real_id19_0001_290,4.5497727394104,3.1622776985168457,0.64117431640625,0.6150988904968644,0.6023875114784206,0.30345073774393144,0.20295097572584483,-0.9035411477088928,0.8085824847221375,1.0029996633529663,256,256,146.86056518554688,170.96206665039062,0.3831113545771103
repl0072_whitening_medium,DF40-cdf-ddim,whitening_medium,Celeb-real_id19_0001_290,19.320480346679688,19.02629852294922,0.9999847412109375,0.9999517607332369,1.0,0.3163042648966201,0.21602197299153125,-0.17413394153118134,0.3990030586719513,0.30204981565475464,256,256,146.86056518554688,170.96206665039062,0.3831113545771103
repl0072_eye_enlarging,DF40-cdf-ddim,eye_enlarging,Celeb-real_id19_0001_290,0.4710930287837982,0.0,0.0577850341796875,0.1728895320791124,0.26750017659108566,0.9463955637707948,1.0,-0.0400460809469223,0.4831468164920807,0.3215256929397583,256,256,146.86056518554688,170.96206665039062,0.3831113545771103
repl0072_face_reshaping,DF40-cdf-ddim,face_reshaping,Celeb-real_id19_0001_290,2.049527645111084,0.0,0.197601318359375,0.2687409551374819,0.3713357349720986,0.4301930501930502,0.40594594594594596,-0.10752453655004501,0.6780114769935608,0.490146666765213,256,256,146.86056518554688,170.96206665039062,0.3831113545771103
repl0073_smoothing_medium,DF40-cdf-SiT,smoothing_medium,10159,2.8609797954559326,2.2360680103302,0.446044921875,0.5965499485066942,0.6183223122074448,0.39631226053639845,0.284688013136289,-0.33929523825645447,0.8204068541526794,0.6738457679748535,256,256,146.9153289794922,156.18202209472656,0.35012105036512864
repl0073_whitening_medium,DF40-cdf-SiT,whitening_medium,10159,26.58184051513672,28.017850875854492,1.0,1.0,1.0,0.29632568359375,0.2053680419921875,-0.07124622911214828,0.6890327334403992,0.4895523190498352,256,256,146.9153289794922,156.18202209472656,0.35012105036512864
repl0073_eye_enlarging,DF40-cdf-SiT,eye_enlarging,10159,0.5004078149795532,0.0,0.0652008056640625,0.20669412976313079,0.316071030537187,0.9393868476480225,0.9955534753100866,-0.030538050457835197,0.5534375309944153,0.37201082706451416,256,256,146.9153289794922,156.18202209472656,0.35012105036512864
