model,source,filter_type,n_clean_fake,n_fake_filter,clean_fake_false_filter_rate,clean_fake_false_filter_rate_95ci,filter_head_auroc,filter_head_auroc_95ci,joint_recognition_rate,joint_recognition_95ci,fake_head_recall,has_filter_recall,mean_filter_probability,median_filter_probability,calibration_threshold
v816@0.95_calibrated,DF40-cdf-sd2.1,face_reshaping,39,37,0.0,"[0.0000, 0.0000]",0.48995148995148996,"[0.3638, 0.6182]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.2854082028608064,0.2545197606086731,0.95
v816@0.95_calibrated,DF40-cdf-sd2.1,smoothing_medium,39,37,0.0,"[0.0000, 0.0000]",0.6521136521136521,"[0.5190, 0.7699]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.39926294358195485,0.3694876730442047,0.95
v816@0.95_calibrated,DF40-cdf-sd2.1,whitening_medium,39,39,0.0,"[0.0000, 0.0000]",0.4990138067061144,"[0.3747, 0.6299]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.2949294375303464,0.2623797953128814,0.95
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,eye_enlarging,36,36,0.0,"[0.0000, 0.0000]",0.5447530864197531,"[0.4198, 0.6790]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.3379228351016839,0.3163827657699585,0.85
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,face_reshaping,36,36,0.0,"[0.0000, 0.0000]",0.6535493827160495,"[0.5147, 0.7747]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.40860534293784034,0.3763544112443924,0.85
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,smoothing_medium,36,36,0.0,"[0.0000, 0.0000]",1.0,"[1.0000, 1.0000]",0.6388888888888888,"[0.4722, 0.7778]",1.0,0.6388888888888888,0.8559271742900213,0.8703857660293579,0.85
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,whitening_medium,36,36,0.0,"[0.0000, 0.0000]",0.5308641975308642,"[0.3997, 0.6644]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.3212627377361059,0.31029750406742096,0.85
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,eye_enlarging,42,42,0.0,"[0.0000, 0.0000]",0.6071428571428572,"[0.4841, 0.7211]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.3733924666330928,0.3526236712932586,0.85
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,face_reshaping,42,42,0.0,"[0.0000, 0.0000]",0.6570294784580499,"[0.5357, 0.7721]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.4053555904399781,0.37262044847011566,0.85
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,smoothing_medium,42,42,0.0,"[0.0000, 0.0000]",0.9909297052154196,"[0.9751, 1.0000]",0.5476190476190477,"[0.4048, 0.7143]",1.0,0.5476190476190477,0.8437171422299885,0.8598605990409851,0.85
