model,source,filter_type,resolution_condition,n_clean_fake,n_fake_filter,clean_fake_false_filter_rate,clean_fake_false_filter_rate_95ci,filter_head_auroc,filter_head_auroc_95ci,joint_recognition_rate,joint_recognition_95ci,fake_head_recall,mean_filter_probability,median_filter_probability,calibration_threshold
CellC@0.85,DF40-cdf-ddim,face_reshaping,canonical_256,40,40,0.0,"[0.0000, 0.0000]",0.670625,"[0.5443, 0.7919]",0.0,"[0.0000, 0.0000]",1.0,0.2952160368673503,0.2712688446044922,0.85
CellC@0.85,DF40-cdf-ddim,whitening_medium,canonical_512,40,40,0.0,"[0.0000, 0.0000]",0.441875,"[0.3137, 0.5681]",0.0,"[0.0000, 0.0000]",1.0,0.11054508725646879,0.06217225827276705,0.85
CellC@0.85,DF40-cdf-ddim,eye_enlarging,canonical_512,40,40,0.0,"[0.0000, 0.0000]",0.656875,"[0.5362, 0.7706]",0.0,"[0.0000, 0.0000]",1.0,0.18636907378677275,0.11501442641019816,0.85
CellC@0.85,DF40-cdf-ddim,smoothing_medium,canonical_512,40,40,0.0,"[0.0000, 0.0000]",0.36,"[0.2400, 0.4795]",0.025,"[0.0000, 0.0750]",1.0,0.10897178623708892,0.030800964683294248,0.85
CellC@0.85,DF40-cdf-ddim,face_reshaping,canonical_512,40,40,0.0,"[0.0000, 0.0000]",0.543125,"[0.4169, 0.6687]",0.0,"[0.0000, 0.0000]",1.0,0.13435859556775537,0.0828226767480373,0.85
CellC@0.85,DF40-cdf-ddim,whitening_medium,canonical_1024,40,40,0.0,"[0.0000, 0.0000]",0.4225,"[0.3000, 0.5469]",0.0,"[0.0000, 0.0000]",1.0,0.10627983745653177,0.055695787072181646,0.85
CellC@0.85,DF40-cdf-ddim,eye_enlarging,canonical_1024,40,40,0.0,"[0.0000, 0.0000]",0.6525000000000001,"[0.5338, 0.7638]",0.0,"[0.0000, 0.0000]",1.0,0.19572633057832717,0.1136901304125785,0.85
CellC@0.85,DF40-cdf-ddim,smoothing_medium,canonical_1024,40,40,0.0,"[0.0000, 0.0000]",0.16625,"[0.0781, 0.2719]",0.0,"[0.0000, 0.0000]",1.0,0.06605965440976429,0.011507194954901899,0.85
CellC@0.85,DF40-cdf-ddim,face_reshaping,canonical_1024,40,40,0.0,"[0.0000, 0.0000]",0.511875,"[0.3862, 0.6425]",0.0,"[0.0000, 0.0000]",1.0,0.13363727319519964,0.0773936249315738,0.85
CellC@0.85,DF40-cdf-pixart,whitening_medium,native,43,43,0.0,"[0.0000, 0.0000]",0.47701460248783123,"[0.3537, 0.6014]",0.0,"[0.0000, 0.0000]",1.0,0.009277506984586148,0.0038901451043784,0.85
